"Framework","Reference1","Recommendation1","Reference2","Recommendation2","Similarity"
"IFRS S1","IFRS S1 26","The objective of sustainability-related financial disclosures on governance is to enable users of general purpose financial reports to understand the governance processes, controls and procedures an entity uses to monitor, manage and oversee sustainability-related risks and opportunities.","IFRS S1 45","The objective of sustainability-related financial disclosures on metrics and targets is to enable users of general purpose financial reports to understand an entity’s performance in relation to its sustainability-related risks and opportunities, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",0.411421868727952
"IFRS S1","IFRS S1 28","The objective of sustainability-related financial disclosures on strategy is to enable users of general purpose financial reports to understand an entity’s strategy for managing sustainability-related risks and opportunities.","IFRS S1 45","The objective of sustainability-related financial disclosures on metrics and targets is to enable users of general purpose financial reports to understand an entity’s performance in relation to its sustainability-related risks and opportunities, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",0.54309154204516
"IFRS S1","IFRS S1 46","An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects:
- (a) Metrics required by an applicable IFRS Sustainability Disclosure Standard; and
- (b) Metrics the entity uses to measure and monitor:
      (b)i That sustainability-related risk or opportunity; and
      (b)ii Its performance in relation to that sustainability-related risk or opportunity, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.","IFRS S1 45","The objective of sustainability-related financial disclosures on metrics and targets is to enable users of general purpose financial reports to understand an entity’s performance in relation to its sustainability-related risks and opportunities, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",0.515589181631631
"IFRS S1","IFRS S1 77","An entity shall disclose information to enable users of general purpose financial reports to understand the most significant uncertainties affecting the amounts reported in its sustainability-related financial disclosures.","IFRS S1 45","The objective of sustainability-related financial disclosures on metrics and targets is to enable users of general purpose financial reports to understand an entity’s performance in relation to its sustainability-related risks and opportunities, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",0.353277271737839
"IFRS S1","IFRS S1 45","The objective of sustainability-related financial disclosures on metrics and targets is to enable users of general purpose financial reports to understand an entity’s performance in relation to its sustainability-related risks and opportunities, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.","IFRS S1 46","An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects:
- (a) Metrics required by an applicable IFRS Sustainability Disclosure Standard; and
- (b) Metrics the entity uses to measure and monitor:
      (b)i That sustainability-related risk or opportunity; and
      (b)ii Its performance in relation to that sustainability-related risk or opportunity, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",0.515589181631631
"IFRS S1","IFRS S1 56","In identifying applicable disclosure requirements about a sustainability related risk or opportunity that could reasonably be expected to affect an entity’s prospects, an entity shall apply the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity.","IFRS S1 46","An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects:
- (a) Metrics required by an applicable IFRS Sustainability Disclosure Standard; and
- (b) Metrics the entity uses to measure and monitor:
      (b)i That sustainability-related risk or opportunity; and
      (b)ii Its performance in relation to that sustainability-related risk or opportunity, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",0.428999102480166
"IFRS S1","IFRS S1 56","In identifying applicable disclosure requirements about a sustainability related risk or opportunity that could reasonably be expected to affect an entity’s prospects, an entity shall apply the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity.","IFRS S1 47","In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply paragraphs 57–58 to identify applicable metrics.",0.558716714929153
"IFRS S1","IFRS S1 57","In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply judgement to identify information that:
- (a) Is relevant to the decision-making of users of general purpose financial reports; and
- (b) Faithfully represents that sustainability-related risk or opportunity.","IFRS S1 47","In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply paragraphs 57–58 to identify applicable metrics.",0.539257636520415
"IFRS S2","IFRS S2 28","To achieve this objective, an entity shall disclose:
- (a) information relevant to the cross-industry metric categories (see paragraphs 29–31);
- (b) industry-based metrics that are associated with particular business models, activities or other common features that characterise participation in an industry (see paragraph 32); and
- (c) targets set by the entity, and any targets it is required to meet by law or regulation, to mitigate or adapt to climate-related risks or take advantage of climate-related opportunities, including metrics used by the governance body or management to measure progress towards these targets (see paragraphs 33–37).","IFRS S1 48","Metrics disclosed by an entity applying paragraphs 45–46 shall include metrics associated with particular business models, activities or other common features that characterise participation in an industry.",0.461959893099222
"IFRS S2","IFRS S2 32","An entity shall disclose industry-based metrics that are associated with one or more particular business models, activities or other common features that characterise participation in an industry. In determining the industry-based metrics that the entity discloses, the entity shall refer to and consider the applicability of the industry-based metrics associated with disclosure topics described in the Industry-based Guidance on Implementing IFRS S2.","IFRS S1 48","Metrics disclosed by an entity applying paragraphs 45–46 shall include metrics associated with particular business models, activities or other common features that characterise participation in an industry.",0.436011123644867
"IFRS S1","IFRS S1 50","If a metric has been developed by an entity, the entity shall disclose information about:
- (a) How the metric is defined, including whether it is derived by adjusting a metric taken from a source other than IFRS Sustainability Disclosure Standards and, if so, which source and how the metric disclosed by the entity differs from the metric specified in that source;
- (b) Whether the metric is an absolute measure, a measure expressed in relation to another metric or a qualitative measure (such as a red, amber, green—or RAG—status);
- (c) Whether the metric is validated by a third party and, if so, which party; and
- (d) The method used to calculate the metric and the inputs to the calculation, including the limitations of the method used and the significant assumptions made.","IFRS S1 49","If an entity discloses a metric taken from a source other than IFRS Sustainability Disclosure Standards, the entity shall identify the source and the metric taken.",0.478576947862197
"IFRS S1","IFRS S1 49","If an entity discloses a metric taken from a source other than IFRS Sustainability Disclosure Standards, the entity shall identify the source and the metric taken.","IFRS S1 50","If a metric has been developed by an entity, the entity shall disclose information about:
- (a) How the metric is defined, including whether it is derived by adjusting a metric taken from a source other than IFRS Sustainability Disclosure Standards and, if so, which source and how the metric disclosed by the entity differs from the metric specified in that source;
- (b) Whether the metric is an absolute measure, a measure expressed in relation to another metric or a qualitative measure (such as a red, amber, green—or RAG—status);
- (c) Whether the metric is validated by a third party and, if so, which party; and
- (d) The method used to calculate the metric and the inputs to the calculation, including the limitations of the method used and the significant assumptions made.",0.478576947862197
"TCFD","TCFD Metrics and Targets C","Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.","IFRS S1 51","An entity shall disclose information about the targets it has set to monitor progress towards achieving its strategic goals, and any targets it is required to meet by law or regulation. For each target, the entity shall disclose:
- (a) The metric used to set the target and to monitor progress towards reaching the target;
- (b) The specific quantitative or qualitative target the entity has set or is required to meet;
- (c) The period over which the target applies;
- (d) The base period from which progress is measured;
- (e) Any milestones and interim targets;
- (f) Performance against each target and an analysis of trends or changes in the entity’s performance; and
- (g) Any revisions to the target and an explanation for those revisions.",0.363997321289637
"IFRS S2","IFRS S2 33","An entity shall disclose the quantitative and qualitative climate-related targets it has set to monitor progress towards achieving its strategic goals, and any targets it is required to meet by law or regulation, including any greenhouse gas emissions targets. For each target, the entity shall disclose:
- (a) the metric used to set the target (see paragraphs B66–B67);
- (b) the objective of the target (for example, mitigation, adaptation or conformance with science-based initiatives);
- (c) the part of the entity to which the target applies (for example, whether the target applies to the entity in its entirety or only a part of the entity, such as a specific business unit or specific geographical region);
- (d) the period over which the target applies;
- (e) the base period from which progress is measured;
- (f) any milestones and interim targets;
- (h) how the latest international agreement on climate change, including jurisdictional commitments that arise from that agreement, has informed the target.
- (g) if the target is quantitative, whether it is an absolute target or an intensity target; and","IFRS S1 51","An entity shall disclose information about the targets it has set to monitor progress towards achieving its strategic goals, and any targets it is required to meet by law or regulation. For each target, the entity shall disclose:
- (a) The metric used to set the target and to monitor progress towards reaching the target;
- (b) The specific quantitative or qualitative target the entity has set or is required to meet;
- (c) The period over which the target applies;
- (d) The base period from which progress is measured;
- (e) Any milestones and interim targets;
- (f) Performance against each target and an analysis of trends or changes in the entity’s performance; and
- (g) Any revisions to the target and an explanation for those revisions.",0.706577684566672
"IFRS S2","IFRS S2 34","An entity shall disclose information about its approach to setting and reviewing each target, and how it monitors progress against each target, including:
- (a) whether the target and the methodology for setting the target has been validated by a third party;
- (b) the entity’s processes for reviewing the target;
- (c) the metrics used to monitor progress towards reaching the target; and
- (d) any revisions to the target and an explanation for those revisions.","IFRS S1 51","An entity shall disclose information about the targets it has set to monitor progress towards achieving its strategic goals, and any targets it is required to meet by law or regulation. For each target, the entity shall disclose:
- (a) The metric used to set the target and to monitor progress towards reaching the target;
- (b) The specific quantitative or qualitative target the entity has set or is required to meet;
- (c) The period over which the target applies;
- (d) The base period from which progress is measured;
- (e) Any milestones and interim targets;
- (f) Performance against each target and an analysis of trends or changes in the entity’s performance; and
- (g) Any revisions to the target and an explanation for those revisions.",0.581620357151084
"IFRS S2","IFRS S2 35","An entity shall disclose information about its performance against each climate-related target and an analysis of trends or changes in the entity’s performance.","IFRS S1 51","An entity shall disclose information about the targets it has set to monitor progress towards achieving its strategic goals, and any targets it is required to meet by law or regulation. For each target, the entity shall disclose:
- (a) The metric used to set the target and to monitor progress towards reaching the target;
- (b) The specific quantitative or qualitative target the entity has set or is required to meet;
- (c) The period over which the target applies;
- (d) The base period from which progress is measured;
- (e) Any milestones and interim targets;
- (f) Performance against each target and an analysis of trends or changes in the entity’s performance; and
- (g) Any revisions to the target and an explanation for those revisions.",0.369480246636449
"ESRS E1","ESRS E1 Disclosure 95","The definition and calculation of metrics, including metrics used to set targets and monitor  progress towards them, shall be consistent over time. The undertaking shall provide restated comparative figures, unless it is impracticable to do so (see ESRS 2 BP-2), when it has:
(a) redefined or replaced a metric or target;
(b) identified new information in relation to the estimated figures disclosed in the preceding period and the new information provides evidence of circumstances that existed in that  period.","IFRS S1 52","The definition and calculation of metrics, including metrics used to set the entity’s targets and monitor progress towards reaching them, shall be consistent over time. If a metric is redefined or replaced, an entity shall apply paragraph B52.",0.446583984448085
"IFRS S1","IFRS S1 30","An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Specifically, the entity shall:
- (a) Describe sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects;
- (b) Specify the time horizons—short, medium or long term—over which the effects of each of those sustainability-related risks and opportunities could reasonably be expected to occur; and
- (c) Explain how the entity defines ‘short term’, ‘medium term’ and ‘long term’ and how these definitions are linked to the planning horizons used by the entity for strategic decision-making.","IFRS S1 54","In identifying sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply IFRS Sustainability Disclosure Standards.",0.405290887655117
"IFRS S1","IFRS S1 56","In identifying applicable disclosure requirements about a sustainability related risk or opportunity that could reasonably be expected to affect an entity’s prospects, an entity shall apply the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity.","IFRS S1 54","In identifying sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply IFRS Sustainability Disclosure Standards.",0.748916760893115
"IFRS S1","IFRS S1 75","In the process of preparing sustainability-related financial disclosures, an entity makes various judgements, apart from those involving estimations, that can significantly affect the information reported in the entity’s sustainability related financial disclosures. For example, an entity makes judgements in:
- (a) Identifying sustainability-related risks and opportunities that could be reasonably expected to affect the entity’s prospects;
- (b) Determining which sources of guidance to apply in accordance with paragraphs 54–58;
- (c) Identifying material information to include in the sustainability related financial disclosures; and
- (d) Assessing whether an event or change in circumstances is significant and requires reassessment of the scope of all affected sustainability related risks and opportunities throughout the entity’s value chain (see paragraph B11).","IFRS S1 54","In identifying sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply IFRS Sustainability Disclosure Standards.",0.351740827954702
"IFRS S2","IFRS S2 12","In identifying the climate-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, the entity shall refer to and consider the applicability of the industry-based disclosure topics defined in the Industry-based Guidance on Implementing IFRS S2.","IFRS S1 54","In identifying sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply IFRS Sustainability Disclosure Standards.",0.460423709065659
"IFRS S1","IFRS S1 58","In making the judgement described in paragraph 57:
- (a) An entity shall refer to and consider the applicability of the metrics associated with the disclosure topics included in the SASB Standards. An entity might conclude that the metrics specified in the SASB Standards are not applicable in the entity’s circumstances.
- (b) An entity may—to the extent that these sources do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of:
      (b)i The CDSB Framework Application Guidance;
      (b)ii The most recent pronouncements of other standard‑setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and
      (b)iii The information, including metrics, disclosed by entities that operate in the same industry(s) or geographical region(s).
- (c) An entity may—to the extent that these sources assist the entity in meeting the objective of this Standard (see paragraphs 1–4) and do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of the sources specified in Appendix C.","IFRS S1 55","In addition to IFRS Sustainability Disclosure Standards:
- (a) An entity shall refer to and consider the applicability of the disclosure topics in the SASB Standards. An entity might conclude that the disclosure topics in the SASB Standards are not applicable in the entity’s circumstances.
- (b) An entity may refer to and consider the applicability of:
      (b)i The CDSB Framework Application Guidance for Water-related Disclosures and the CDSB Framework Application Guidance for Biodiversity-related Disclosures (collectively referred to as ‘CDSB Framework Application Guidance’);
      (b)ii The most recent pronouncements of other standard‑setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and
      (b)iii The sustainability-related risks and opportunities identified by entities that operate in the same industry(s) or geographical region(s).",0.576850219714961
"IFRS S1","IFRS S1 59","An entity shall identify:
- (a) The specific standards, pronouncements, industry practice and other sources of guidance that the entity has applied in preparing its sustainability-related financial disclosures, including, if applicable, identifying the disclosure topics in the SASB Standards; and
- (b) The industry(s) specified in the IFRS Sustainability Disclosure Standards, the SASB Standards or other sources of guidance relating to a particular industry(s) that the entity has applied in preparing its sustainability-related financial disclosures, including in identifying applicable metrics.","IFRS S1 55","In addition to IFRS Sustainability Disclosure Standards:
- (a) An entity shall refer to and consider the applicability of the disclosure topics in the SASB Standards. An entity might conclude that the disclosure topics in the SASB Standards are not applicable in the entity’s circumstances.
- (b) An entity may refer to and consider the applicability of:
      (b)i The CDSB Framework Application Guidance for Water-related Disclosures and the CDSB Framework Application Guidance for Biodiversity-related Disclosures (collectively referred to as ‘CDSB Framework Application Guidance’);
      (b)ii The most recent pronouncements of other standard‑setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and
      (b)iii The sustainability-related risks and opportunities identified by entities that operate in the same industry(s) or geographical region(s).",0.374671042517394
"IFRS S1","IFRS S1 46","An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects:
- (a) Metrics required by an applicable IFRS Sustainability Disclosure Standard; and
- (b) Metrics the entity uses to measure and monitor:
      (b)i That sustainability-related risk or opportunity; and
      (b)ii Its performance in relation to that sustainability-related risk or opportunity, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.","IFRS S1 56","In identifying applicable disclosure requirements about a sustainability related risk or opportunity that could reasonably be expected to affect an entity’s prospects, an entity shall apply the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity.",0.428999102480166
"IFRS S1","IFRS S1 47","In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply paragraphs 57–58 to identify applicable metrics.","IFRS S1 56","In identifying applicable disclosure requirements about a sustainability related risk or opportunity that could reasonably be expected to affect an entity’s prospects, an entity shall apply the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity.",0.558716714929153
"IFRS S1","IFRS S1 54","In identifying sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply IFRS Sustainability Disclosure Standards.","IFRS S1 56","In identifying applicable disclosure requirements about a sustainability related risk or opportunity that could reasonably be expected to affect an entity’s prospects, an entity shall apply the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity.",0.748916760893115
"IFRS S1","IFRS S1 57","In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply judgement to identify information that:
- (a) Is relevant to the decision-making of users of general purpose financial reports; and
- (b) Faithfully represents that sustainability-related risk or opportunity.","IFRS S1 56","In identifying applicable disclosure requirements about a sustainability related risk or opportunity that could reasonably be expected to affect an entity’s prospects, an entity shall apply the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity.",0.446453610124575
"IFRS S1","IFRS S1 47","In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply paragraphs 57–58 to identify applicable metrics.","IFRS S1 57","In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply judgement to identify information that:
- (a) Is relevant to the decision-making of users of general purpose financial reports; and
- (b) Faithfully represents that sustainability-related risk or opportunity.",0.539257636520415
"IFRS S1","IFRS S1 56","In identifying applicable disclosure requirements about a sustainability related risk or opportunity that could reasonably be expected to affect an entity’s prospects, an entity shall apply the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity.","IFRS S1 57","In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply judgement to identify information that:
- (a) Is relevant to the decision-making of users of general purpose financial reports; and
- (b) Faithfully represents that sustainability-related risk or opportunity.",0.446453610124575
"IFRS S1","IFRS S1 55","In addition to IFRS Sustainability Disclosure Standards:
- (a) An entity shall refer to and consider the applicability of the disclosure topics in the SASB Standards. An entity might conclude that the disclosure topics in the SASB Standards are not applicable in the entity’s circumstances.
- (b) An entity may refer to and consider the applicability of:
      (b)i The CDSB Framework Application Guidance for Water-related Disclosures and the CDSB Framework Application Guidance for Biodiversity-related Disclosures (collectively referred to as ‘CDSB Framework Application Guidance’);
      (b)ii The most recent pronouncements of other standard‑setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and
      (b)iii The sustainability-related risks and opportunities identified by entities that operate in the same industry(s) or geographical region(s).","IFRS S1 58","In making the judgement described in paragraph 57:
- (a) An entity shall refer to and consider the applicability of the metrics associated with the disclosure topics included in the SASB Standards. An entity might conclude that the metrics specified in the SASB Standards are not applicable in the entity’s circumstances.
- (b) An entity may—to the extent that these sources do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of:
      (b)i The CDSB Framework Application Guidance;
      (b)ii The most recent pronouncements of other standard‑setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and
      (b)iii The information, including metrics, disclosed by entities that operate in the same industry(s) or geographical region(s).
- (c) An entity may—to the extent that these sources assist the entity in meeting the objective of this Standard (see paragraphs 1–4) and do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of the sources specified in Appendix C.",0.576850219714961
"IFRS S1","IFRS S1 59","An entity shall identify:
- (a) The specific standards, pronouncements, industry practice and other sources of guidance that the entity has applied in preparing its sustainability-related financial disclosures, including, if applicable, identifying the disclosure topics in the SASB Standards; and
- (b) The industry(s) specified in the IFRS Sustainability Disclosure Standards, the SASB Standards or other sources of guidance relating to a particular industry(s) that the entity has applied in preparing its sustainability-related financial disclosures, including in identifying applicable metrics.","IFRS S1 58","In making the judgement described in paragraph 57:
- (a) An entity shall refer to and consider the applicability of the metrics associated with the disclosure topics included in the SASB Standards. An entity might conclude that the metrics specified in the SASB Standards are not applicable in the entity’s circumstances.
- (b) An entity may—to the extent that these sources do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of:
      (b)i The CDSB Framework Application Guidance;
      (b)ii The most recent pronouncements of other standard‑setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and
      (b)iii The information, including metrics, disclosed by entities that operate in the same industry(s) or geographical region(s).
- (c) An entity may—to the extent that these sources assist the entity in meeting the objective of this Standard (see paragraphs 1–4) and do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of the sources specified in Appendix C.",0.353146225277967
"IFRS S1","IFRS S1 55","In addition to IFRS Sustainability Disclosure Standards:
- (a) An entity shall refer to and consider the applicability of the disclosure topics in the SASB Standards. An entity might conclude that the disclosure topics in the SASB Standards are not applicable in the entity’s circumstances.
- (b) An entity may refer to and consider the applicability of:
      (b)i The CDSB Framework Application Guidance for Water-related Disclosures and the CDSB Framework Application Guidance for Biodiversity-related Disclosures (collectively referred to as ‘CDSB Framework Application Guidance’);
      (b)ii The most recent pronouncements of other standard‑setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and
      (b)iii The sustainability-related risks and opportunities identified by entities that operate in the same industry(s) or geographical region(s).","IFRS S1 59","An entity shall identify:
- (a) The specific standards, pronouncements, industry practice and other sources of guidance that the entity has applied in preparing its sustainability-related financial disclosures, including, if applicable, identifying the disclosure topics in the SASB Standards; and
- (b) The industry(s) specified in the IFRS Sustainability Disclosure Standards, the SASB Standards or other sources of guidance relating to a particular industry(s) that the entity has applied in preparing its sustainability-related financial disclosures, including in identifying applicable metrics.",0.374671042517394
"IFRS S1","IFRS S1 58","In making the judgement described in paragraph 57:
- (a) An entity shall refer to and consider the applicability of the metrics associated with the disclosure topics included in the SASB Standards. An entity might conclude that the metrics specified in the SASB Standards are not applicable in the entity’s circumstances.
- (b) An entity may—to the extent that these sources do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of:
      (b)i The CDSB Framework Application Guidance;
      (b)ii The most recent pronouncements of other standard‑setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and
      (b)iii The information, including metrics, disclosed by entities that operate in the same industry(s) or geographical region(s).
- (c) An entity may—to the extent that these sources assist the entity in meeting the objective of this Standard (see paragraphs 1–4) and do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of the sources specified in Appendix C.","IFRS S1 59","An entity shall identify:
- (a) The specific standards, pronouncements, industry practice and other sources of guidance that the entity has applied in preparing its sustainability-related financial disclosures, including, if applicable, identifying the disclosure topics in the SASB Standards; and
- (b) The industry(s) specified in the IFRS Sustainability Disclosure Standards, the SASB Standards or other sources of guidance relating to a particular industry(s) that the entity has applied in preparing its sustainability-related financial disclosures, including in identifying applicable metrics.",0.353146225277967
"IFRS S1","IFRS S1 72","An entity whose sustainability-related financial disclosures comply with all the requirements of IFRS Sustainability Disclosure Standards shall make an explicit and unreserved statement of compliance. An entity shall not describe sustainability-related financial disclosures as complying with IFRS Sustainability Disclosure Standards unless they comply with all the requirements of IFRS Sustainability Disclosure Standards.","IFRS S1 60","An entity is required to provide disclosures required by IFRS Sustainability Disclosure Standards as part of its general purpose financial reports.",0.374736561787281
"IFRS S1","IFRS S1 76","Other IFRS Sustainability Disclosure Standards may require disclosure of some of the information that an entity would otherwise be required to disclose in accordance with paragraph 74.","IFRS S1 60","An entity is required to provide disclosures required by IFRS Sustainability Disclosure Standards as part of its general purpose financial reports.",0.428489842355497
"IFRS S1","IFRS S1 82","Other IFRS Sustainability Disclosure Standards may require disclosure of some of the information that an entity would otherwise be required to disclose in accordance with paragraphs 77–78.","IFRS S1 60","An entity is required to provide disclosures required by IFRS Sustainability Disclosure Standards as part of its general purpose financial reports.",0.400360240099229
"ESRS E1","ESRS E1 Disclosure 73","The reporting period for the undertaking’s sustainability statement shall be consistent with that of its financial statements.","IFRS S1 64","An entity shall report its sustainability-related financial disclosures at the same time as its related financial statements. The entity’s sustainability related financial disclosures shall cover the same reporting period as the related financial statements.",0.389842053009424
"IFRS S1","IFRS S1 68","An entity shall disclose information about transactions, other events and conditions that occur after the end of the reporting period, but before the date on which the sustainability-related financial disclosures are authorised for issue, if non-disclosure of that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports.","IFRS S1 67","If, after the end of the reporting period but before the date on which the sustainability-related financial disclosures are authorised for issue, an entity receives information about conditions that existed at the end of the reporting period, it shall update disclosures that relate to those conditions in the light of the new information.",0.444268844604476
"ESRS E1","ESRS E1 Disclosure 93","In some cases, the undertaking may receive information after the reporting period but before  the management report is approved for issuance. If such information provides evidence or insights about conditions existing at period end, the undertaking shall, where appropriate,  update estimates and sustainability disclosures, in the light of the new information.","IFRS S1 67","If, after the end of the reporting period but before the date on which the sustainability-related financial disclosures are authorised for issue, an entity receives information about conditions that existed at the end of the reporting period, it shall update disclosures that relate to those conditions in the light of the new information.",0.456030829619308
"IFRS S1","IFRS S1 67","If, after the end of the reporting period but before the date on which the sustainability-related financial disclosures are authorised for issue, an entity receives information about conditions that existed at the end of the reporting period, it shall update disclosures that relate to those conditions in the light of the new information.","IFRS S1 68","An entity shall disclose information about transactions, other events and conditions that occur after the end of the reporting period, but before the date on which the sustainability-related financial disclosures are authorised for issue, if non-disclosure of that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports.",0.444268844604476
"ESRS E1","ESRS E1 Disclosure 83","The undertaking shall disclose comparative information in respect of the previous period for all    quantitative metrics and monetary amounts disclosed in the current period. When relevant to an understanding of the current period’s sustainability statement, the undertaking shall also disclose comparative information for narrative disclosures.","IFRS S1 70","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise, an entity shall disclose comparative information in respect of the preceding period for all amounts disclosed in the reporting period. If such information would be useful for an understanding of the sustainability-related financial disclosures for the reporting period, the entity shall also disclose comparative information for narrative and descriptive sustainability-related financial information (see paragraphs B49–B59).",0.480823916383646
"IFRS S1","IFRS S1 34","An entity shall disclose information that enables users of general purpose financial reports to understand:
- (a) The effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and
- (b) The anticipated effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how sustainability-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects).","IFRS S1 71","Amounts reported in sustainability-related financial disclosures might relate, for example, to metrics and targets or to current and anticipated financial effects of sustainability-related risks and opportunities.",0.366033010107324
"IFRS S1","IFRS S1 60","An entity is required to provide disclosures required by IFRS Sustainability Disclosure Standards as part of its general purpose financial reports.","IFRS S1 72","An entity whose sustainability-related financial disclosures comply with all the requirements of IFRS Sustainability Disclosure Standards shall make an explicit and unreserved statement of compliance. An entity shall not describe sustainability-related financial disclosures as complying with IFRS Sustainability Disclosure Standards unless they comply with all the requirements of IFRS Sustainability Disclosure Standards.",0.374736561787281
"IFRS S1","IFRS S1 76","Other IFRS Sustainability Disclosure Standards may require disclosure of some of the information that an entity would otherwise be required to disclose in accordance with paragraph 74.","IFRS S1 72","An entity whose sustainability-related financial disclosures comply with all the requirements of IFRS Sustainability Disclosure Standards shall make an explicit and unreserved statement of compliance. An entity shall not describe sustainability-related financial disclosures as complying with IFRS Sustainability Disclosure Standards unless they comply with all the requirements of IFRS Sustainability Disclosure Standards.",0.351969738436136
"IFRS S1","IFRS S1 76","Other IFRS Sustainability Disclosure Standards may require disclosure of some of the information that an entity would otherwise be required to disclose in accordance with paragraph 74.","IFRS S1 73","This Standard relieves an entity from disclosing information otherwise required by an IFRS Sustainability Disclosure Standard if law or regulation prohibits the entity from disclosing that information (see paragraph B33). This Standard also relieves an entity from disclosing information about a sustainability-related opportunity otherwise required by an IFRS Sustainability Disclosure Standard if that information is commercially sensitive as described in this Standard (see paragraphs B34–B37). An entity using these exemptions is not prevented from asserting compliance with IFRS Sustainability Disclosure Standards.",0.37715414737675
